"","y1","y2","z1","z2","z3","z4","z5"
"1",3389,3149,1,7500,220,0,140
"2",1101,653,1,1975,200,0,100
"3",1131,810,0,3600,205,60,111
"4",596,448,1,675,160,60,120
"5",896,844,1,750,185,70,83
"6",1767,1450,1,2500,180,60,80
"7",807,493,1,350,154,80,98
"8",1111,941,0,1500,200,70,93
"9",645,547,1,375,137,60,105
"10",628,392,1,1050,167,60,74
"11",1360,1283,1,3000,180,60,80
"12",652,458,1,450,160,64,60
"13",860,722,1,1750,135,90,79
"14",500,384,0,2000,160,60,80
"15",781,501,0,4500,180,0,100
"16",1070,405,0,1500,170,90,120
"17",1754,1520,1,3000,180,0,129
